index_date;fertilizer_sales
2000-01-01;1395707.09424509
2000-02-01;1461265.57266294
2000-03-01;1552883.4778968
2000-04-01;1376574.2083643
2000-05-01;1273516.12060302
2000-06-01;1181699.88031179
2000-07-01;1157285.2279246
2000-08-01;1276368.2730521
2000-09-01;1336745.95925329
2000-10-01;1317131.12878386
2000-11-01;1536768.30061454
2000-12-01;1519868.27337748
2001-01-01;1492630.49909215
2001-02-01;1376868.89427887
2001-03-01;1426151.71225183
2001-04-01;1376104.0464608
2001-05-01;1279754.12994825
2001-06-01;1395067.5906288
2001-07-01;1496926.00408455
2001-08-01;1609119.66255592
2001-09-01;1291405.66025176
2001-10-01;1484811.72829225
2001-11-01;1360591.57468187
2001-12-01;1440998.40766706
2002-01-01;1591620.90454707
2002-02-01;1501523.87053775
2002-03-01;1472178.00307423
2002-04-01;1717315.23429614
2002-05-01;1849524.5958989
2002-06-01;1891845.58417232
2002-07-01;1874747.33317414
2002-08-01;1444811.12015099
2002-09-01;1477049.1910798
2002-10-01;1242431.38470254
2002-11-01;1430923.179076
2002-12-01;1558908.81322322
2003-01-01;1616969.95043928
2003-02-01;1848854.22920123
2003-03-01;1835159.46256255
2003-04-01;1827471.54852188
2003-05-01;1869220.78894225
2003-06-01;1896216.13672095
2003-07-01;2053846.78025085
2003-08-01;1991696.56014349
2003-09-01;1956084.37662088
2003-10-01;1957083.23278037
2003-11-01;1915399.25680296
2003-12-01;1955645.38379389
2004-01-01;2113895.30192491
2004-02-01;1449217.04309665
2004-03-01;1615765.66869725
2004-04-01;1890319.0826871
2004-05-01;2080274.48358686
2004-06-01;2141024.24110349
2004-07-01;1873172.73428522
2004-08-01;1867647.79946619
2004-09-01;2016688.66751776
2004-10-01;1940558.88449621
2004-11-01;1937213.86214054
2004-12-01;1804367.7456251
2005-01-01;1555318.31404211
2005-02-01;1609584.95963576
2005-03-01;1572029.13468037
2005-04-01;1534241.63938838
2005-05-01;1483218.71486508
2005-06-01;1413829.57265046
2005-07-01;1622376.77105905
2005-08-01;1823160.91059605
2005-09-01;1996854.18792155
2005-10-01;1916946.30471104
2005-11-01;1917293.1286294
2005-12-01;1765715.10411679
2006-01-01;1651756.96181587
2006-02-01;1654199.53068455
2006-03-01;1591116.89164908
2006-04-01;1516299.70500258
2006-05-01;1339222.24893188
2006-06-01;1254162.09757182
2006-07-01;1516497.55886168
2006-08-01;1782702.18936
2006-09-01;2082368.3171538
2006-10-01;2217476.53777223
2006-11-01;2343767.75755469
2006-12-01;2110040.47176073
2007-01-01;2057525.87126488
