index_date,fertilizer_sales
2000-02-01,-2028.0
2000-03-01,-34731.0
2000-04-01,-249487.0
2000-05-01,255129.0
2000-06-01,332929.0
2000-07-01,377292.0
2000-08-01,474717.0
2000-09-01,146487.0
2000-10-01,109060.0
2000-11-01,-483411.0
2000-12-01,-777553.0
2001-01-01,-50272.0
2001-02-01,-177145.0
2001-03-01,-91214.0
2001-04-01,-129564.0
2001-05-01,272103.0
2001-06-01,538920.0
2001-07-01,484721.0
2001-08-01,482633.0
2001-09-01,-200131.0
2001-10-01,324780.0
2001-11-01,-828121.0
2001-12-01,-699480.0
2002-01-01,116833.0
2002-02-01,-141269.0
2002-03-01,-193017.0
2002-04-01,159661.0
2002-05-01,508097.0
2002-06-01,461129.0
2002-07-01,348344.0
2002-08-01,-24265.0
2002-09-01,197480.0
2002-10-01,-92052.0
2002-11-01,-530425.0
2002-12-01,-692080.0
2003-01-01,13690.0
2003-02-01,193359.0
2003-03-01,-195474.0
2003-04-01,-100668.0
2003-05-01,415945.0
2003-06-01,435941.0
2003-07-01,491069.0
2003-08-01,397724.0
2003-09-01,206241.0
2003-10-01,151023.0
2003-11-01,-769570.0
2003-12-01,-845751.0
2004-01-01,94093.0
2004-02-01,-681892.0
2004-03-01,-41.0
2004-04-01,150735.0
2004-05-01,545104.0
2004-06-01,446120.0
2004-07-01,59972.0
2004-08-01,531932.0
2004-09-01,427880.0
2004-10-01,86875.0
2004-11-01,-747328.0
2004-12-01,-1078453.0
2005-01-01,-307365.0
2005-02-01,41484.0
2005-03-01,-173254.0
2005-04-01,-186744.0
2005-05-01,284205.0
2005-06-01,294341.0
2005-07-01,514127.0
2005-08-01,795786.0
2005-09-01,470914.0
2005-10-01,95242.0
2005-11-01,-744621.0
2005-12-01,-1138580.0
2006-01-01,-146681.0
2006-02-01,-13351.0
2006-03-01,-160546.0
2006-04-01,-252777.0
2006-05-01,131351.0
2006-06-01,262883.0
2006-07-01,575007.0
2006-08-01,887140.0
2006-09-01,557892.0
2006-10-01,326656.0
2006-11-01,-625193.0
2006-12-01,-1215825.0
2007-01-01,-25744.0
2007-02-01,-129552.0
2007-03-01,145673.0
2007-04-01,-280241.0
2007-05-01,347547.0
2007-06-01,174551.0
2007-07-01,389509.0
2007-08-01,718048.0
2007-09-01,12260.0
2007-10-01,201267.0
2007-11-01,-763203.0
2007-12-01,-813366.0
2008-01-01,283569.0
2008-02-01,-5087.0
2008-03-01,-119760.0
2008-04-01,-51946.0
2008-05-01,292210.0
2008-06-01,430829.0
2008-07-01,48474.0
2008-08-01,-368650.0
2008-09-01,113052.0
2008-10-01,-173230.0
2008-11-01,-826978.0
2008-12-01,-218988.0
2009-01-01,336056.0
2009-02-01,48945.0
2009-03-01,19416.0
2009-04-01,-328051.0
2009-05-01,304999.0
2009-06-01,436915.0
2009-07-01,623386.0
2009-08-01,131597.0
2009-09-01,142008.0
2009-10-01,174962.0
2009-11-01,-701113.0
2009-12-01,-728641.0
2010-01-01,175981.0
2010-02-01,-72361.0
2010-03-01,-235225.0
2010-04-01,-189781.0
2010-05-01,225819.0
2010-06-01,363352.0
2010-07-01,573960.0
2010-08-01,387785.0
2010-09-01,427859.0
2010-10-01,305099.0
2010-11-01,-668663.0
2010-12-01,-1016156.0
2011-01-01,5311.0
2011-02-01,18305.0
2011-03-01,-239187.0
2011-04-01,-122967.0
2011-05-01,815840.0
2011-06-01,385891.0
2011-07-01,166323.0
2011-08-01,372541.0
2011-09-01,304122.0
2011-10-01,-30489.0
2011-11-01,-665901.0
2011-12-01,-908618.0
2012-01-01,48971.0
2012-02-01,-141384.0
2012-03-01,-6475.0
2012-04-01,-161148.0
2012-05-01,837601.0
2012-06-01,75697.0
2012-07-01,152990.0
2012-08-01,855643.0
2012-09-01,-28160.0
2012-10-01,182668.0
2012-11-01,-844110.0
2012-12-01,-954918.0
2013-01-01,191436.0
2013-02-01,-282769.0
2013-03-01,-98791.0
2013-04-01,133441.0
2013-05-01,567519.0
2013-06-01,270518.0
2013-07-01,380259.0
2013-08-01,678470.0
2013-09-01,-66650.0
2013-10-01,246267.0
2013-11-01,-1004690.0
2013-12-01,-897515.0
2014-01-01,254870.0
2014-02-01,-123701.0
2014-03-01,-385033.0
2014-04-01,61520.0
2014-05-01,876818.0
2014-06-01,-938338.0
2014-07-01,1567913.0
2014-08-01,340429.0
2014-09-01,308228.0
2014-10-01,-208193.0
2014-11-01,-933274.0
2014-12-01,-784441.0
2015-01-01,5757.0
2015-02-01,-154943.0
2015-03-01,-78679.0
2015-04-01,-377193.0
2015-05-01,683400.0
2015-06-01,601102.0
2015-07-01,589961.0
2015-08-01,311335.0
2015-09-01,185673.0
2015-10-01,-370183.0
2015-11-01,-881069.0
2015-12-01,-483448.0
2016-01-01,54259.0
2016-02-01,99250.0
2016-03-01,-446555.0
2016-04-01,-153640.0
2016-05-01,780441.0
2016-06-01,632446.0
2016-07-01,359864.0
2016-08-01,577891.0
2016-09-01,53086.0
2016-10-01,-316627.0
2016-11-01,-425273.0
2016-12-01,-559486.0
2017-01-01,-66499.0
2017-02-01,-565141.0
2017-03-01,-279497.0
2017-04-01,-384839.0
2017-05-01,1071177.0
2017-06-01,432030.0
2017-07-01,486885.0
2017-08-01,688733.0
2017-09-01,175825.0
2017-10-01,-236019.0
2017-11-01,-710553.0
2017-12-01,-929874.0
2018-01-01,85107.0
2018-02-01,-324256.0
2018-03-01,-345302.0
2018-04-01,-51589.0
2018-05-01,53536.0
2018-06-01,1210097.0
2018-07-01,978879.0
2018-08-01,860240.0
2018-09-01,-576761.0
2018-10-01,-187265.0
2018-11-01,-840226.0
2018-12-01,-850768.0
2019-01-01,331066.0
2019-02-01,-474832.0
2019-03-01,-615021.0
2019-04-01,95193.0
2019-05-01,720626.0
2019-06-01,626017.0
2019-07-01,891077.0
2019-08-01,409327.0
2019-09-01,-130026.0
2019-10-01,-99351.0
2019-11-01,-1008860.0
2019-12-01,-482533.0
2020-01-01,414339.0
2020-02-01,-474836.0
2020-03-01,-696183.0
2020-04-01,184221.0
2020-05-01,1060196.0
2020-06-01,491804.0
2020-07-01,556660.0
2020-08-01,246100.0
2020-09-01,198963.0
2020-10-01,-440304.0
2020-11-01,-577412.0
2020-12-01,-283910.0
2021-01-01,85958.0
2021-02-01,-355769.0
2021-03-01,-469914.0
2021-04-01,-627328.0
2021-05-01,1549011.0
2021-06-01,889848.0
2021-07-01,675105.0
2021-08-01,-48908.0
